,Temperature,L,R,A_M,Color_Red,Color_Blue,Color_BlueWhite,Color_White,Color_YellowWhite,Color_Yellow,Color_Orange,Color_OrangeRed,Color_YellowOrange,Spectral_Class_M,Spectral_Class_B,Spectral_Class_O,Spectral_Class_A,Spectral_Class_F,Spectral_Class_K,Spectral_Class_G,star_type,r_log,r_clipped,l_log,temp_log
0,3068,0.0024,0.17,16.12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-1.7719568419318752,0.24344214649946344,-6.032286541628237,8.028781162487148
1,3042,0.0005,0.1542,16.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-1.869504817852908,0.23554629887003734,-7.600902459542082,8.020270472819238
2,2600,0.0003,0.102,18.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.282782465697866,0.2020942738001064,-8.111728083308073,7.8632667240095735
3,2800,0.0002,0.16,16.65,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-1.8325814637483102,0.23853499417841828,-8.517193191416238,7.937374696163295
4,1939,0.000138,0.103,20.06,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.2730262907525014,0.20288397005046205,-8.88825687280707,7.569927655242652
5,2840,0.00065,0.11,16.98,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.2072749131897207,0.20820609850836932,-7.338538195074591,7.951559331155252
6,2637,0.00073,0.127,17.22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.0635681925235456,0.2198381837360851,-7.222466023821838,7.877397186353287
7,2600,0.0004,0.096,17.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.3434070875143007,0.19718712147906126,-7.824046010856292,7.8632667240095735
8,2650,0.00069,0.11,17.45,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.2072749131897207,0.20820609850836932,-7.278818960372969,7.882314918980268
9,2700,0.00018,0.13,16.05,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.0402208285265546,0.22172799464121573,-8.622553707074063,7.90100705199242
10,3600,0.0029,0.51,10.69,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-0.6733445532637656,0.3323673666614959,-5.843044541989709,8.1886891244442
11,3129,0.0122,0.3761,11.79,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-0.9779002135058463,0.3077156497473755,-4.406319327242926,8.048468743668883
12,3134,0.0004,0.196,13.21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.6296406197516198,0.2549616802972791,-7.824046010856292,8.050065422915965
13,3628,0.0055,0.393,10.48,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-0.9339456671128757,0.31127347242552506,-5.2030071867437115,8.196436811235028
14,2650,0.0006,0.14,11.782,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.9661128563728327,0.22772653280386534,-7.418580902748128,7.882314918980268
15,3340,0.0038,0.24,13.07,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.4271163556401458,0.27135464709733204,-5.572754212249797,8.113726085970747
16,2799,0.0018,0.16,14.79,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.8325814637483102,0.23853499417841828,-6.319968614080018,7.937017489515454
17,3692,0.00367,0.47,10.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-0.7550225842780328,0.3257560835316208,-5.607563616915658,8.213923595622743
18,3192,0.00362,0.1967,13.53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.6260755535871236,0.25525024824508025,-5.621281253144457,8.068402958569699
19,3441,0.039,0.351,11.18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.0469690555162714,0.3021249950228049,-3.2441936328524905,8.14351740579748
